qseqid,group6759,group4419,group6758,group6757,group6756,group6755,group6754,group6753,group6752,group6751,group6750,group5676,group5675,group5674,group6747,group6746,group6704,group6703,group6702,group6701,group6700,group6699,group6698,group6696,group2570,group6694,group6693,group6692,group6691,group6690,group6688,group6687,group6686,group6685,group6684,group6683,group6673,group6672,group6676,group7196,group6901,group4928,group4927,group4926,group4925,group6903,group6932,group4930,group4931,group4932,group4933,group4935,group4936,group7008,group6864,group9364,group6863,group6860,group6859,group6766,group6765,group6764
group6759,1.0,0.052554681967,0.804618642093,0.954214231841,0.956240133689,0.884969792232,0.935642264041,0.390204349244,0.825365343013,0.495161823093,0.73953252239,0.292724006624,0.803877913429,0.456198147938,0.777678247667,0.132918109682,0.242209496891,0.778867833226,0.202098531262,0.180219192163,0.0104119686523,0.190182805409,0.209265446335,0.169459451846,0.182530689768,0.306133350149,0.176387421838,0.0944545437489,0.0997831606423,0.0391492745633,0.182031712174,0.176917966173,0.392835281442,0.518121931059,0.507059449558,0.376773386662,0.334290974376,0.0592126098307,0.519355427126,0.690264575114,0.021579696121,0.0275267810396,0.0354630852808,0.0324190793007,0.0382921450752,0.740074720729,0.592053296208,-0.000131889737656,0.00455142351162,0.0010191638996,-0.00172404339226,0.00786295431161,-0.000436405390168,0.0135295589342,0.680257402636,0.0506768523972,0.698233840286,0.0277337181893,0.580849864278,0.98333902658,0.202381552419,0.230238118833
group4419,0.052554681967,1.0,0.103076902087,0.132392290217,0.10285422037,0.134080231894,0.104865245265,0.0833052534229,0.128023504636,0.0337224410604,0.0409136203387,0.118069795581,0.191118696594,0.114048365073,0.042891292034,-0.0044865439401,0.00640306722202,0.00787856391848,0.0124309305476,0.00805808913625,0.00530774103671,0.00773346736587,0.00806813181684,0.00690468146652,0.00958104700083,0.0157948495465,0.0112198523887,0.0056589199918,0.00475410039868,0.00565411820352,0.00687690394433,0.00625653786918,0.0143051259479,0.000620770548854,0.000606190011482,0.0254623423302,0.00210177226195,-0.000178953358966,0.0310156585512,0.00528391719401,0.00405232057613,0.00475529196664,0.00603201927611,0.00587694014265,0.0061573966945,0.00547996248427,0.0050051751903,-0.00326664569019,0.00195468991699,0.00107209369092,-0.00139995815536,-0.000521086408834,-7.47309502307e-05,0.00419994261599,0.00506090111649,0.024989840284,0.00533689940245,0.00328790558488,0.0181123318559,0.10745530562,0.0145854317415,0.0110282763854
group6758,0.804618642093,0.103076902087,1.0,0.884310292614,0.888317414626,0.882735708381,0.857171195015,0.560633198379,0.858769782878,0.710668872212,0.766967335872,0.492649434473,0.700519874655,0.50050028869,0.680643319195,0.012992528367,0.324440868353,0.185181604502,0.215175609837,0.217376581376,0.0144127556501,0.220711507083,0.229369622992,0.184205011345,0.20081394041,0.226999831251,0.201988040343,0.0722253486278,0.100057761573,0.0805956109599,0.210260196359,0.216587378145,0.281137266725,0.140764957965,0.122471131719,0.22507131329,0.121064907734,0.0181629711229,0.522845007119,0.138402921292,0.0954870074267,0.103818524567,0.124486908855,0.105757692602,0.13199296611,0.255150958903,0.172082924703,0.00908620333129,0.0128600269701,0.0119190683856,0.0059419846837,0.0116578491458,0.00796327787955,0.0281485837984,0.203688444853,0.0663965719437,0.252691020228,0.0312322164148,0.505800740464,0.831400726889,0.204455180959,0.239842425211
group6757,0.954214231841,0.132392290217,0.884310292614,1.0,0.968240735109,0.945275268607,0.956174346743,0.481624735439,0.892460289118,0.596504518412,0.822484746436,0.415552122945,0.754235112181,0.548302930144,0.778201615159,0.128730402691,0.328056720313,0.403732228758,0.399674484799,0.339069149644,0.0660763565728,0.348795451779,0.3695923061,0.336212696946,0.345486578753,0.445315111587,0.351998106211,0.157901473754,0.174564618173,0.097811554529,0.375674895399,0.356608108251,0.454788220449,0.34302020754,0.366423081684,0.488196762169,0.241242299046,0.0593209517588,0.551940141604,0.206365360756,0.0501054763715,0.0567266508465,0.0695683433486,0.0739177840652,0.0831388149082,0.507167520951,0.389221682434,0.0106551494683,0.0165625373394,0.0164228584736,0.000470312379185,0.00567469428824,0.00139414386802,0.0407030394412,0.415943698931,0.109085028027,0.48175596265,0.03471379681,0.549225160589,0.958125338312,0.481353218388,0.464092450085
group6756,0.956240133689,0.10285422037,0.888317414626,0.968240735109,1.0,0.936026465403,0.97835328613,0.476995298161,0.87402934513,0.571512324349,0.819420098735,0.378910169993,0.739463318859,0.52769302563,0.778198804499,0.00870846220823,0.149175052526,0.396592156795,0.369560617622,0.334907842968,0.0424087963546,0.350985290443,0.373625629058,0.301599758664,0.316507063571,0.398805825435,0.327396096929,0.160599591955,0.196917935787,0.110814513132,0.351784354283,0.32922624559,0.440237425981,0.320467387674,0.387385861426,0.445405493856,0.209315120985,0.0309340096132,0.545435862769,0.196462178618,0.0460473833656,0.0488801279528,0.0691362826735,0.0624295681773,0.0790473284794,0.44050718776,0.345545833123,0.000858566035323,0.00715514592086,0.00288401863373,-0.0013535303912,0.00482884436628,-6.54855406823e-05,0.022729398607,0.348429005798,0.0792269459321,0.42003016109,0.0404419501058,0.588688377233,0.970791201877,0.414310292528,0.425166923685
group6755,0.884969792232,0.134080231894,0.882735708381,0.945275268607,0.936026465403,1.0,0.942185111291,0.627653411434,0.89137700752,0.635715890198,0.822057628956,0.452730681116,0.735480348266,0.537116075709,0.724268818902,0.0343327813827,0.258537432559,0.389839866132,0.43422559188,0.385703937249,0.0285214419483,0.420272917466,0.444183399546,0.350316885344,0.363182603337,0.437015069288,0.402762612569,0.176347168852,0.235745248832,0.120498541325,0.413489254269,0.414223445904,0.424472124435,0.228077842889,0.225466087103,0.428179205337,0.214573689321,0.0468519330936,0.597783225548,0.211977799226,0.0998176254527,0.104857200539,0.155295390374,0.143008204855,0.180747675612,0.435252739871,0.341755651797,0.01038819186,0.0256716309932,0.0184211981054,0.00588535810691,0.00670954656313,0.00683666979409,0.0511691760928,0.336229606598,0.100479353862,0.400859139094,0.0506254770718,0.507094354019,0.896272194311,0.384920420515,0.477066966207
group6754,0.935642264041,0.104865245265,0.857171195015,0.956174346743,0.97835328613,0.942185111291,1.0,0.53031362568,0.874209311528,0.568352293681,0.812634206711,0.394541188439,0.756563466708,0.535357050196,0.766187325253,0.000653681088924,0.142538061945,0.196865506757,0.221958198319,0.214285555683,0.0321995235343,0.215116417596,0.240303798563,0.192289082293,0.185976866396,0.231011012335,0.165478106435,0.1150486915,0.103740558407,0.0628006664658,0.230864001387,0.236676718974,0.281769463825,0.235534015542,0.260586638345,0.297719890883,0.10404853891,0.0141304675172,0.517198130134,0.110248208737,0.0342634573907,0.0353904199302,0.0434432179568,0.0444528203232,0.0541865975004,0.272667603534,0.179030588444,-0.00146717826723,0.00499881562297,0.00420409048357,-0.00104645942307,-0.0017956611467,-0.00194829344623,0.0246445701077,0.186723037851,0.050698651478,0.248235587165,0.0264026894705,0.594320380965,0.968522083882,0.320377459923,0.302664760156
group6753,0.390204349244,0.0833052534229,0.560633198379,0.481624735439,0.476995298161,0.627653411434,0.53031362568,1.0,0.618890671544,0.628420258603,0.474231273052,0.420176115508,0.448520164134,0.31024940541,0.38364776112,0.00558860674945,0.288351588754,0.128676518343,0.161653143943,0.146012787997,0.00943387808895,0.155480633143,0.164847539995,0.134373425738,0.159375657604,0.160285610181,0.218933155502,0.074168770408,0.137700380921,0.126999253039,0.153760895109,0.159782432981,0.205997894694,0.12046921538,0.0879653811269,0.147922050945,0.0718363934462,0.0134306156929,0.344260929081,0.0938649768027,0.0956720585803,0.0969712282672,0.12061529015,0.129497596407,0.155644464986,0.1681466135,0.129188048539,0.0513235232621,0.0555071619824,0.0651818673602,0.0278910462489,0.0280446085936,0.0325748489189,0.0720641340181,0.1602968096,0.0406954426045,0.159119895171,0.0231160299876,0.269206680015,0.437142019687,0.129959514646,0.182536225398
group6752,0.825365343013,0.128023504636,0.858769782878,0.892460289118,0.87402934513,0.89137700752,0.874209311528,0.618890671544,1.0,0.823840125822,0.873357133561,0.506200092759,0.753995056299,0.531168597713,0.705909647253,0.0633392386538,0.366219832019,0.405430708271,0.465635483332,0.397640477224,0.03017404504,0.430618079715,0.456322035182,0.370453010148,0.389523898237,0.472105047958,0.465104436688,0.200556132619,0.295689618668,0.170761506025,0.421174610782,0.415347389231,0.428061239267,0.181798572374,0.216235257491,0.42275616873,0.202220073962,0.0288297141757,0.629749957442,0.27285736255,0.121136612688,0.130841723005,0.18944274989,0.181945556105,0.236537101476,0.431014923706,0.377846710861,0.0230869584692,0.0447737540953,0.0390536925549,0.0124647668776,0.0173222975384,0.0141740066843,0.0487326844494,0.391270430458,0.109185813013,0.397473114843,0.0561029976029,0.506656380079,0.855195646715,0.386456964321,0.503161315897
group6751,0.495161823093,0.0337224410604,0.710668872212,0.596504518412,0.571512324349,0.635715890198,0.568352293681,0.628420258603,0.823840125822,1.0,0.747817266116,0.522125728776,0.442358311862,0.394606430892,0.551387017135,0.0612375411559,0.427550725541,0.368973411307,0.220192409169,0.367734990524,0.00216902590892,0.381259140154,0.399156192283,0.331004322904,0.208458229703,0.337023148513,0.341250745392,0.162829936843,0.237092732997,0.120415815937,0.369105985408,0.37089141646,0.315334660356,0.0556755714372,0.0804479873353,0.0810620495329,0.227065961723,0.0850544356011,0.581793187952,0.0618594189544,0.206645091341,0.21450768644,0.286265941973,0.25191249231,0.346656605008,0.405515383253,0.374890197486,0.0604709491135,0.112293521745,0.0884113103897,0.0435862641973,0.0533780037793,0.0532451206015,0.0477853989756,0.359741923,0.131850844186,0.383950573079,0.0545596457284,0.220193902503,0.566361126806,0.222138186769,0.391417001411
group6750,0.73953252239,0.0409136203387,0.766967335872,0.822484746436,0.819420098735,0.822057628956,0.812634206711,0.474231273052,0.873357133561,0.747817266116,1.0,0.399440605886,0.529457925336,0.49254907155,0.70272651835,0.0508472200683,0.269636863353,0.722848128288,0.431399530071,0.675579449401,0.00291824430767,0.732119262355,0.776454324754,0.657284442424,0.4023897476,0.67461994284,0.627514273723,0.315191926116,0.44531343436,0.17975515041,0.741532291411,0.720288245767,0.570563700388,0.0725573388407,0.152538648074,0.154503883099,0.390752145645,0.105099055637,0.779577847079,0.150199564464,0.216302770731,0.229577034285,0.335519771497,0.282635084899,0.425009384446,0.759132114975,0.661560653027,0.0240661175469,0.0721578774141,0.0422219181438,0.0232003961601,0.0313133836478,0.0252118997278,0.0284886057195,0.615590863406,0.24072248538,0.69956866472,0.106215756722,0.320306366261,0.84741992151,0.424308528697,0.766288583888
group5676,0.292724006624,0.118069795581,0.492649434473,0.415552122945,0.378910169993,0.452730681116,0.394541188439,0.420176115508,0.506200092759,0.522125728776,0.399440605886,1.0,0.599124388309,0.682909795295,0.320173101124,0.0166263798079,0.233775542024,0.171217468266,0.12935027062,0.211659040057,0.00205012472509,0.202632117869,0.213019921319,0.210372716859,0.115919582091,0.20101172604,0.183825145994,0.0837653888526,0.0966421122291,0.0507023419131,0.196773254252,0.219125063366,0.175754523371,0.071333854985,0.0467972130771,0.0387354172076,0.0827610387349,0.00425732705543,0.463504545051,0.0870374149059,0.383209444618,0.120202226998,0.155271753368,0.147193655313,0.209098733855,0.234257398487,0.161611437446,0.0742916371229,0.0842151327906,0.0619051350009,0.0501298611743,0.056887344656,0.0579908159233,0.0344942183766,0.17985950816,0.0475120961198,0.228669684738,0.0310340426134,0.229059554128,0.537022314738,0.140689660643,0.215745967457
group5675,0.803877913429,0.191118696594,0.700519874655,0.754235112181,0.739463318859,0.735480348266,0.756563466708,0.448520164134,0.753995056299,0.442358311862,0.529457925336,0.599124388309,1.0,0.448416389165,0.790227437123,0.0992281738512,0.325403399042,0.2146472791,0.104883556969,0.0779840824109,0.00474658217418,0.083230441495,0.0824356615242,0.129278342262,0.0893325069199,0.134736716323,0.116488818666,0.0634264145402,0.0451132629388,0.0600790770994,0.0709723138551,0.0761826155548,0.0972813224592,0.0886679995257,0.0738632198211,0.0198428703478,0.21438469116,0.138876789284,0.336020917191,0.0922617875794,0.0670542493043,0.0479258924223,0.0474815013539,0.0666398382647,0.05444177226,0.25422888527,0.217141192489,0.081472433994,0.0979480611117,0.0591439586877,0.0436957389098,0.0604593319516,0.0571208164651,0.0496681885115,0.0751512400265,0.0365856487321,0.233797391061,0.0185603408634,0.543031684878,0.800927181908,0.102262671486,0.0870059111152
group5674,0.456198147938,0.114048365073,0.50050028869,0.548302930144,0.52769302563,0.537116075709,0.535357050196,0.31024940541,0.531168597713,0.394606430892,0.49254907155,0.682909795295,0.448416389165,1.0,0.44189070673,0.0279834496977,0.0825801969069,0.0768050505866,0.0657261244258,0.100298833595,0.00210272103829,0.093119249037,0.0960622249598,0.184295598381,0.0591825902644,0.0945739975792,0.08182943584,0.0420647988243,0.0441986577632,0.0249875963192,0.0879097270523,0.0924983269303,0.0763609775184,0.0477941074943,0.0516094670396,0.0195612568233,0.0430582041036,0.0099650029307,0.485313873822,0.0807862224176,0.398446744144,0.0567749012283,0.0660100293341,0.0687290328848,0.0842491489793,0.09959695672,0.0726530860628,0.0369136663871,0.0388157026592,0.0320571765254,0.0242115996734,0.0261982127776,0.0271564162708,0.0131387855014,0.0788867894349,0.0257597036929,0.094049733982,0.0176440651869,0.205763504588,0.790518028638,0.0784682530956,0.102339621302
group6747,0.777678247667,0.042891292034,0.680643319195,0.778201615159,0.778198804499,0.724268818902,0.766187325253,0.38364776112,0.705909647253,0.551387017135,0.70272651835,0.320173101124,0.790227437123,0.44189070673,1.0,0.279360050671,0.275467793526,0.0409381989131,0.0132525972609,0.0332257139719,0.0130006741192,0.038179672603,0.031046519595,0.00579602871059,0.00798321283768,0.0252343900838,0.0494053081316,0.0241616255699,0.0424770102368,0.0840594607335,0.0264752157853,0.0105964626863,0.0537093086693,0.098921349838,0.0580769086139,0.0188526267773,0.0213570409652,0.016687980474,0.394440562487,0.0190975835366,0.0114259683679,0.0107255594369,0.0296808853092,0.0142316467261,0.00268345555733,0.0357707499116,0.0159723470945,0.0283864597314,0.0320485510586,0.0265415750875,0.00454840857719,0.0388204248608,0.0119242874921,0.0127709604878,0.0718100501912,0.0432662389781,0.0229988986502,0.0072829365584,0.609920781014,0.79832286991,0.0184312649591,0.0259174595925
group6746,0.132918109682,-0.0044865439401,0.012992528367,0.128730402691,0.00870846220823,0.0343327813827,0.000653681088924,0.00558860674945,0.0633392386538,0.0612375411559,0.0508472200683,0.0166263798079,0.0992281738512,0.0279834496977,0.279360050671,1.0,0.0146358537549,0.0225291371397,0.0177431860103,0.0360664869197,0.0579952523418,0.0183381201549,0.0179576784084,0.0167248293404,0.01150238391,0.0660665806073,0.0467326629548,0.0307002549301,0.0226798405516,0.0137217714763,0.00685656292984,0.00790574628167,0.0344846776386,0.0147137773096,0.027950820552,0.0299306878189,0.0880512642275,0.0869452629442,-0.00482854066034,0.0809527300857,0.0272928522106,0.0827543816734,0.0797505950615,0.0928139268333,0.00388960780125,0.0257563049809,0.00968624973055,0.259175620979,0.237862799928,0.185944151132,0.0680249203178,0.0502871920541,0.0616894786031,0.127507653654,0.0497212169952,0.0353738541676,0.0142795503154,0.00810356652987,0.0476401148283,0.0103942876014,0.0452738164687,0.0693486014059
group6704,0.242209496891,0.00640306722202,0.324440868353,0.328056720313,0.149175052526,0.258537432559,0.142538061945,0.288351588754,0.366219832019,0.427550725541,0.269636863353,0.233775542024,0.325403399042,0.0825801969069,0.275467793526,0.0146358537549,1.0,0.380364153119,0.223276162046,0.378370703745,0.0186154153676,0.335147465432,0.312046401314,0.223023912854,0.213278904581,0.235630025542,0.22214217511,0.130800921546,0.144995571474,0.0724783368083,0.210405420805,0.221967636812,0.215827091654,0.0562510326681,0.100080179397,0.216348418266,0.173350109663,0.082714510189,0.294558547225,0.138845241925,0.274097474519,0.340651831322,0.262670164823,0.288396395371,0.266828106817,0.345646277437,0.226562788877,0.418938858497,0.530181731388,0.441602271641,0.294729230809,0.355305595175,0.372107461354,0.276974810355,0.293342753815,0.172148602419,0.346162243544,0.040202051273,0.012205990854,0.0115008216537,0.249092548537,0.242114765317
group6703,0.778867833226,0.00787856391848,0.185181604502,0.403732228758,0.396592156795,0.389839866132,0.196865506757,0.128676518343,0.405430708271,0.368973411307,0.722848128288,0.171217468266,0.2146472791,0.0768050505866,0.0409381989131,0.0225291371397,0.380364153119,1.0,0.740598571781,0.831356828798,0.0326595147152,0.834290397235,0.818392944945,0.609623380973,0.653768872826,0.758128145276,0.695153795177,0.309284340813,0.419972558647,0.21631955194,0.677107599271,0.660912647872,0.572810079802,0.14139965118,0.241955419841,0.644073088262,0.426007676852,0.138319697661,0.803273203662,0.494277400614,0.385758946547,0.534704526659,0.713048824438,0.660589422728,0.743542659344,0.696062344217,0.644187683731,0.214285296102,0.562634671291,0.336029073612,0.158542234254,0.205094004184,0.186902389399,0.348598215853,0.611008916379,0.261481368398,0.632060125484,0.0984258396504,0.0181179265763,0.0169503284304,0.511647494432,0.741906041771
group6702,0.202098531262,0.0124309305476,0.215175609837,0.399674484799,0.369560617622,0.43422559188,0.221958198319,0.161653143943,0.465635483332,0.220192409169,0.431399530071,0.12935027062,0.104883556969,0.0657261244258,0.0132525972609,0.0177431860103,0.223276162046,0.740598571781,1.0,0.513416976482,0.032952973644,0.707394232467,0.683730650387,0.594175675557,0.87637105876,0.758779115409,0.731402382909,0.511366678945,0.352194792577,0.509140826139,0.574063780302,0.579771583867,0.644936361908,0.488097658821,0.513905466525,0.0391448263933,0.372723497899,0.045413969762,0.766958979744,0.108625104178,0.246807529985,0.371524819455,0.607952547839,0.572720145364,0.804063281636,0.829108625482,0.700467333116,0.195473497849,0.178898010157,0.194576432215,0.106230678605,0.146826710721,0.134101512943,0.158009505617,0.354116795281,0.112462814796,0.763512879566,0.122289015572,0.157957208648,0.0362203416891,0.504490596801,0.793834425066
group6701,0.180219192163,0.00805808913625,0.217376581376,0.339069149644,0.334907842968,0.385703937249,0.214285555683,0.146012787997,0.397640477224,0.367734990524,0.675579449401,0.211659040057,0.0779840824109,0.100298833595,0.0332257139719,0.0360664869197,0.378370703745,0.831356828798,0.513416976482,1.0,0.0175919279253,0.856636234174,0.839982817379,0.700044067152,0.518279349122,0.668854821482,0.659967579299,0.443473257464,0.482300696964,0.317088593301,0.714842097734,0.693635401434,0.621154341702,0.187816072746,0.25354353851,0.0558589974119,0.355776513717,0.0891083466984,0.876996325757,0.143665633372,0.493974326277,0.540559605646,0.684189812722,0.59852651621,0.786344669636,0.792074718824,0.612169356303,0.259150024998,0.229610489466,0.268563827476,0.195396791024,0.235119922239,0.22159856915,0.130178136449,0.634365537042,0.134600286414,0.768038421931,0.107894348635,0.0745559619983,0.035001625662,0.431077358222,0.731970903473
