qseqid,group6925,group6926,group6927,group4138,group9265,group9264,group9263,group9262,group9259,group9258,group9257,group9256,group9255,group4070,group5276,group5277,group5600,group5756,group5757,group4144,group4143,group4142,group4141,group4140,group4139,group4137,group4136,group4135,group4134,group4129,group4128,group4127,group4126,group4125,group4124,group4123,group4122,group4121,group4120,group4119,group5530,group5368,group5369,group5370,group5371,group4890
group6925,1,0.690371319,0.97500925,0.545452739,0.13790893,0.094621608,0.643944713,0.315427725,0.078216439,0.303088137,0.446630521,0.326711007,0.171983917,0.003052492,0.210523068,0.056949193,0.078581478,0.145530338,0.119409587,0.096915938,0.090681783,0.633743874,0.651015206,0.575101805,0.639519658,0.685583517,0.021586108,0.001386273,0.036948421,0.020873438,0.332276379,0.090422597,0.114540552,0.060883927,0.085624121,0.103086002,0.302996724,0.050045807,0.174789474,0.157903229,0.454756481,0.422474519,0.423074616,0.259996378,0.375644706,0.574911087
group6926,0.690371319,1,0.747189496,0.746571489,0.284846713,0.15704373,0.495844004,0.313443709,0.175822815,0.29046899,0.411280097,0.404418425,0.088069862,0.00190764,0.196235379,0.074079097,0.113998672,0.08472052,0.185646321,0.177865056,0.169274242,0.803329443,0.822416465,0.752763306,0.783538886,0.795469908,0.065338764,0.005563542,0.06568121,0.055827959,0.215865848,0.113227967,0.120183345,0.077909571,0.108409573,0.107641478,0.219979376,0.099967219,0.116035846,0.102280557,0.243417211,0.424006926,0.843389275,0.809705923,0.687225575,0.297560655
group6927,0.97500925,0.747189496,1,0.545615827,0.252907327,0.180125373,0.673307909,0.391956655,0.153161444,0.365976603,0.521505438,0.341706015,0.216268584,0.009906259,0.264801589,0.092304908,0.132810827,0.120068734,0.187993016,0.166626991,0.157079109,0.600727969,0.654008883,0.551630652,0.626480977,0.688018841,0.060548176,0.005236759,0.070276916,0.047570536,0.334695085,0.11481059,0.154357461,0.087053497,0.12188117,0.129219179,0.268342245,0.073429863,0.180401493,0.179468906,0.211788118,0.505916591,0.658692993,0.524223171,0.572582306,0.636285103
group4138,0.545452739,0.746571489,0.545615827,1,0.209549158,0.121466108,0.132237043,0.171691999,0.105305853,0.171917629,0.228160128,0.238136941,0.334988945,0.001006074,0.153232068,0.106204221,0.050844664,0.282173782,0.324833557,0.13790477,0.086108247,0.410308338,0.350478897,0.825320458,0.652492773,0.506518241,0.249570392,0.130673464,0.133578323,0.104109063,0.139535167,0.098542983,0.107183077,0.087462904,0.095428649,0.310577725,0.302090411,0.398305968,0.355489172,0.306820916,0.057623815,0.10091408,0.095570087,0.091957135,0.113391629,0.099471376
group9265,0.13790893,0.284846713,0.252907327,0.209549158,1,0.883141469,0.835286762,0.776451115,0.881324651,0.798556651,0.895288997,0.770053337,0.831659706,0.004028853,0.763931925,0.809011421,0.074856018,0.13875291,0.18197483,0.131146763,0.101625175,0.056490901,0.02591602,0.168992762,0.088834165,0.058410594,0.167236888,0.08933701,0.137572486,0.081361972,0.207690023,0.092592724,0.104618461,0.092150707,0.09728241,0.187202509,0.258714699,0.226755582,0.18990546,0.173611902,0.048820526,0.61954597,0.10989878,0.10678201,0.630985151,0.311411244
group9264,0.094621608,0.15704373,0.180125373,0.121466108,0.883141469,1,0.828571692,0.748606404,0.979835364,0.821878715,0.764334168,0.699589901,0.761341934,0.004649482,0.906136917,0.946779418,0.02416919,0.052446529,0.084219237,0.045135347,0.035754707,0.03368925,0.009998292,0.09708853,0.052463309,0.027017051,0.087400248,0.071530053,0.083996867,0.055181082,0.132408092,0.049889535,0.056432232,0.046913404,0.055265996,0.06701075,0.099238055,0.088466127,0.071569438,0.063782255,0.014924576,0.734051788,0.038289455,0.037143084,0.529451676,0.334014835
group9263,0.643944713,0.495844004,0.673307909,0.132237043,0.835286762,0.828571692,1,0.912974797,0.859460652,0.887341325,0.87260791,0.805440747,0.714191624,0.003753454,0.842590818,0.841191437,0.030635474,0.14002567,0.133400262,0.053999936,0.028508233,0.117450225,0.302344686,0.254327062,0.114855841,0.12088783,0.07442228,0.048650609,0.050970551,0.033831331,0.263652569,0.041606114,0.057513219,0.030602643,0.052558547,0.078868766,0.140020919,0.114122268,0.114745342,0.118039878,0.033772733,0.666902537,0.022588124,0.017472592,0.66485932,0.316882265
group9262,0.315427725,0.313443709,0.391956655,0.171691999,0.776451115,0.748606404,0.912974797,1,0.784213032,0.892330453,0.801391014,0.737950763,0.689215083,0.004083535,0.84317877,0.78789782,0.212845108,0.367360133,0.299092683,0.181465664,0.15850675,0.215164081,0.390364595,0.262370719,0.157754362,0.20183028,0.147875438,0.036739329,0.074235781,0.063200214,0.314847039,0.09753737,0.119983548,0.072948949,0.120445534,0.094186491,0.191267525,0.133933884,0.15942968,0.196033255,0.106376901,0.652482113,0.145810023,0.126358095,0.676421173,0.395949003
group9259,0.078216439,0.175822815,0.153161444,0.105305853,0.881324651,0.979835364,0.859460652,0.784213032,1,0.860079447,0.769686499,0.728532329,0.774918701,0.004319881,0.911717805,0.954851796,0.073914007,0.059390884,0.105244773,0.068853059,0.072425622,0.048156515,0.020448152,0.075757177,0.046616944,0.03152622,0.074402879,0.06860268,0.077438261,0.045745572,0.134167813,0.045147848,0.049482286,0.037849531,0.049397847,0.078702536,0.09338277,0.079412649,0.077278355,0.07238671,0.022185261,0.741170256,0.050774645,0.046717953,0.55942442,0.343748777
group9258,0.303088137,0.29046899,0.365976603,0.171917629,0.798556651,0.821878715,0.887341325,0.892330453,0.860079447,1,0.886162328,0.800855377,0.799342973,0.004110455,0.849113337,0.788642042,0.204902793,0.296056195,0.273309723,0.138975716,0.115543027,0.155911808,0.291359856,0.25055612,0.133009769,0.147595292,0.139224513,0.070783755,0.09263993,0.079149024,0.296975799,0.103953032,0.127985157,0.067355401,0.118323861,0.096826045,0.152132701,0.144292601,0.139050613,0.168576037,0.091403758,0.694364192,0.10634074,0.086005205,0.558208374,0.385788461
group9257,0.446630521,0.411280097,0.521505438,0.228160128,0.895288997,0.764334168,0.87260791,0.801391014,0.769686499,0.886162328,1,0.831518091,0.822652686,0.003526563,0.696182448,0.665642937,0.078286372,0.218524675,0.224070064,0.122920932,0.078239767,0.106381908,0.243295319,0.312738028,0.140083583,0.123514967,0.159645901,0.099026879,0.131878398,0.069358266,0.299252253,0.078771867,0.102487193,0.067523496,0.094671034,0.163708557,0.274610353,0.236495079,0.193234176,0.184710331,0.056510824,0.575920471,0.079434041,0.065702765,0.579690104,0.2974763
group9256,0.326711007,0.404418425,0.341706015,0.238136941,0.770053337,0.699589901,0.805440747,0.737950763,0.728532329,0.800855377,0.831518091,1,0.841718015,0.003335903,0.668126139,0.664899704,0.096346977,0.190283939,0.214272283,0.086260169,0.054678623,0.106851318,0.20992552,0.293983353,0.126034924,0.105901505,0.138476895,0.084085679,0.08626873,0.061295446,0.255137748,0.064156669,0.096277322,0.045491381,0.058784624,0.186539057,0.249803964,0.266345136,0.238325338,0.236386584,0.065151772,0.57662091,0.056027452,0.039429036,0.568158466,0.311052636
group9255,0.171983917,0.088069862,0.216268584,0.334988945,0.831659706,0.761341934,0.714191624,0.689215083,0.774918701,0.799342973,0.822652686,0.841718015,1,0.003122075,0.694397289,0.706124516,0.122966669,0.280264905,0.2902793,0.121487975,0.065274342,0.116956183,0.075367963,0.253818838,0.139765799,0.107471024,0.201126208,0.108607359,0.115547806,0.090583596,0.243926456,0.090001898,0.148148605,0.070143503,0.091004828,0.260863297,0.304578338,0.346381999,0.322010244,0.330108383,0.101246551,0.549500957,0.084874961,0.057222259,0.50472883,0.357881583
group4070,0.003052492,0.00190764,0.009906259,0.001006074,0.004028853,0.004649482,0.003753454,0.004083535,0.004319881,0.004110455,0.003526563,0.003335903,0.003122075,1,0.004375961,0.004387393,0.003494512,0.002435475,0.002070372,0.002619273,0.010910395,0.00178362,0.001207713,0.00110841,0.001237865,0.00837824,0.001194809,0.001062428,0.003894793,0.001581337,0.003288802,0.002223304,0.002324623,0.002469312,0.00224982,0.002631096,0.003300018,0.001853251,0.0021284,0.00235592,0.006013482,0.006772765,0.004028344,0.003405465,0.005507084,0.00567669
group5276,0.210523068,0.196235379,0.264801589,0.153232068,0.763931925,0.906136917,0.842590818,0.84317877,0.911717805,0.849113337,0.696182448,0.668126139,0.694397289,0.004375961,1,0.957293471,0.04713263,0.332491048,0.230434346,0.07861607,0.065508861,0.165897043,0.216744588,0.151303344,0.115019058,0.143521529,0.126652478,0.052116115,0.053023506,0.044424376,0.182253523,0.072783628,0.074343018,0.030765265,0.084419247,0.05146274,0.095718421,0.104380692,0.113631905,0.132340528,0.066315694,0.748807911,0.03534124,0.032289317,0.515183484,0.302589448
group5277,0.056949193,0.074079097,0.092304908,0.106204221,0.809011421,0.946779418,0.841191437,0.78789782,0.954851796,0.788642042,0.665642937,0.664899704,0.706124516,0.004387393,0.957293471,1,0.031336173,0.146646588,0.126997112,0.055151957,0.040353182,0.088495716,0.075884654,0.075308468,0.064398577,0.069963042,0.074926403,0.050500772,0.045410825,0.035076738,0.120365757,0.038879621,0.042568329,0.01941903,0.044211894,0.039490872,0.052091014,0.063400225,0.064398244,0.068712656,0.025401727,0.748603149,0.025201108,0.023184152,0.55430205,0.289833074
group5600,0.078581478,0.113998672,0.132810827,0.050844664,0.074856018,0.02416919,0.030635474,0.212845108,0.073914007,0.204902793,0.078286372,0.096346977,0.122966669,0.003494512,0.04713263,0.031336173,1,0.152423306,0.279580236,0.347320485,0.33138912,0.10066228,0.084603498,0.034719149,0.034891936,0.051387663,0.087427109,0.010048423,0.077569541,0.091585324,0.067316435,0.045000363,0.089208809,0.038499126,0.059118097,0.026761205,0.05777359,0.022355679,0.044464631,0.095640215,0.0358228,0.03435374,0.392106839,0.325089504,0.092485446,0.211843364
group5756,0.145530338,0.08472052,0.120068734,0.282173782,0.13875291,0.052446529,0.14002567,0.367360133,0.059390884,0.296056195,0.218524675,0.190283939,0.280264905,0.002435475,0.332491048,0.146646588,0.152423306,1,0.60439363,0.175444682,0.148411551,0.377815673,0.36458417,0.213100236,0.203816264,0.288438242,0.252757634,0.064195744,0.079894913,0.092776205,0.317475487,0.275055828,0.257061812,0.187552975,0.286922196,0.235600556,0.400917831,0.415011496,0.431238679,0.497749953,0.470560475,0.085938959,0.070606659,0.047676278,0.075070616,0.210710753
group5757,0.119409587,0.185646321,0.187993016,0.324833557,0.18197483,0.084219237,0.133400262,0.299092683,0.105244773,0.273309723,0.224070064,0.214272283,0.2902793,0.002070372,0.230434346,0.126997112,0.279580236,0.60439363,1,0.592057905,0.458761912,0.433658309,0.281158696,0.201944489,0.256696836,0.287813749,0.266333614,0.439103644,0.351029772,0.252013715,0.417578519,0.304109995,0.372590746,0.1586472,0.344859762,0.31816253,0.385422239,0.498871802,0.526868756,0.523698519,0.154887103,0.088492613,0.45423827,0.418455974,0.169086747,0.186951341
group4144,0.096915938,0.177865056,0.166626991,0.13790477,0.131146763,0.045135347,0.053999936,0.181465664,0.068853059,0.138975716,0.122920932,0.086260169,0.121487975,0.002619273,0.07861607,0.055151957,0.347320485,0.175444682,0.592057905,1,0.809717892,0.209650994,0.10379929,0.081387282,0.083143715,0.089385477,0.145685695,0.038475581,0.157682358,0.078483177,0.107882869,0.087984563,0.123867262,0.069989554,0.089585839,0.11826069,0.14610171,0.153997587,0.166461216,0.146968857,0.071896281,0.073956829,0.764933779,0.70850209,0.199618337,0.197560314
group4143,0.090681783,0.169274242,0.157079109,0.086108247,0.101625175,0.035754707,0.028508233,0.15850675,0.072425622,0.115543027,0.078239767,0.054678623,0.065274342,0.010910395,0.065508861,0.040353182,0.33138912,0.148411551,0.458761912,0.809717892,1,0.203665229,0.099033836,0.060248757,0.062582113,0.080969871,0.213969345,0.037970283,0.210534403,0.121003693,0.145166769,0.137931283,0.151384919,0.098376948,0.128943264,0.07298661,0.092756893,0.085021282,0.095908201,0.094243467,0.109762831,0.057848918,0.668102029,0.597150278,0.167341942,0.231568585
group4142,0.633743874,0.803329443,0.600727969,0.410308338,0.056490901,0.03368925,0.117450225,0.215164081,0.048156515,0.155911808,0.106381908,0.106851318,0.116956183,0.00178362,0.165897043,0.088495716,0.10066228,0.377815673,0.433658309,0.209650994,0.203665229,1,0.796191161,0.487720397,0.666249894,0.669877996,0.197955559,0.1963153,0.150215149,0.129459528,0.299219856,0.217911537,0.234217735,0.09123145,0.214411859,0.129868674,0.151159449,0.221463783,0.227620639,0.253533152,0.10099965,0.035798398,0.193569693,0.149540854,0.076320998,0.127486867
group4141,0.651015206,0.822416465,0.654008883,0.350478897,0.02591602,0.009998292,0.302344686,0.390364595,0.020448152,0.291359856,0.243295319,0.20992552,0.075367963,0.001207713,0.216744588,0.075884654,0.084603498,0.36458417,0.281158696,0.10379929,0.099033836,0.796191161,1,0.604788874,0.606235035,0.62717301,0.153017741,0.084860085,0.064626568,0.05670507,0.312056316,0.141057557,0.141938999,0.053804251,0.148792615,0.085660854,0.129806788,0.124638735,0.123815142,0.147165675,0.080974577,0.012373024,0.056420748,0.033911553,0.02594438,0.163538005
group4140,0.575101805,0.752763306,0.551630652,0.825320458,0.168992762,0.09708853,0.254327062,0.262370719,0.075757177,0.25055612,0.312738028,0.293983353,0.253818838,0.00110841,0.151303344,0.075308468,0.034719149,0.213100236,0.201944489,0.081387282,0.060248757,0.487720397,0.604788874,1,0.691252878,0.481892251,0.261856452,0.07522247,0.135060377,0.162753455,0.249736197,0.14145892,0.142843474,0.131644454,0.131380263,0.230604804,0.237524254,0.270270841,0.232313434,0.214684954,0.060468886,0.0858332,0.060148936,0.053714028,0.115636178,0.116733314
group4139,0.639519658,0.783538886,0.626480977,0.652492773,0.088834165,0.052463309,0.114855841,0.157754362,0.046616944,0.133009769,0.140083583,0.126034924,0.139765799,0.001237865,0.115019058,0.064398577,0.034891936,0.203816264,0.256696836,0.083143715,0.062582113,0.666249894,0.606235035,0.691252878,1,0.726838412,0.180950524,0.165793775,0.182411196,0.109426937,0.18271299,0.12302808,0.126086674,0.079398736,0.128916095,0.157105453,0.161926718,0.190836239,0.159546058,0.146201861,0.039332392,0.050640673,0.025231846,0.017705438,0.071635032,0.098397845
group4137,0.685583517,0.795469908,0.688018841,0.506518241,0.058410594,0.027017051,0.12088783,0.20183028,0.03152622,0.147595292,0.123514967,0.105901505,0.107471024,0.00837824,0.143521529,0.069963042,0.051387663,0.288438242,0.287813749,0.089385477,0.080969871,0.669877996,0.62717301,0.481892251,0.726838412,1,0.190569845,0.157331453,0.141706273,0.085427114,0.158551331,0.118155322,0.114077395,0.069047362,0.119276586,0.127437444,0.151011607,0.175565461,0.160373693,0.163047254,0.059135879,0.039462809,0.0630235,0.039932098,0.036949691,0.148941861
group4136,0.021586108,0.065338764,0.060548176,0.249570392,0.167236888,0.087400248,0.07442228,0.147875438,0.074402879,0.139224513,0.159645901,0.138476895,0.201126208,0.001194809,0.126652478,0.074926403,0.087427109,0.252757634,0.266333614,0.145685695,0.213969345,0.197955559,0.153017741,0.261856452,0.180950524,0.190569845,1,0.234986157,0.447369233,0.717300895,0.341060923,0.527267546,0.499484155,0.513110609,0.489882115,0.277634727,0.233976571,0.187902327,0.210380838,0.265657427,0.052934381,0.047610966,0.180397529,0.186107281,0.101122097,0.141546842
group4135,0.001386273,0.005563542,0.005236759,0.130673464,0.08933701,0.071530053,0.048650609,0.036739329,0.06860268,0.070783755,0.099026879,0.084085679,0.108607359,0.001062428,0.052116115,0.050500772,0.010048423,0.064195744,0.439103644,0.038475581,0.037970283,0.1963153,0.084860085,0.07522247,0.165793775,0.157331453,0.234986157,1,0.595430073,0.388227644,0.280730043,0.222937248,0.257618966,0.150036046,0.273672275,0.112962502,0.12839156,0.187067606,0.164774721,0.14031421,0.002311219,0.01371024,0.006263515,0.006844307,0.044860927,0.011220261
group4134,0.036948421,0.06568121,0.070276916,0.133578323,0.137572486,0.083996867,0.050970551,0.074235781,0.077438261,0.09263993,0.131878398,0.08626873,0.115547806,0.003894793,0.053023506,0.045410825,0.077569541,0.079894913,0.351029772,0.157682358,0.210534403,0.150215149,0.064626568,0.135060377,0.182411196,0.141706273,0.447369233,0.595430073,1,0.482402457,0.367059811,0.38679191,0.395595124,0.313850487,0.391575927,0.183139383,0.186719081,0.169488356,0.166090505,0.169969308,0.035914444,0.029475325,0.125863023,0.116766361,0.078160155,0.096738583
group4129,0.020873438,0.055827959,0.047570536,0.104109063,0.081361972,0.055181082,0.033831331,0.063200214,0.045745572,0.079149024,0.069358266,0.061295446,0.090583596,0.001581337,0.044424376,0.035076738,0.091585324,0.092776205,0.252013715,0.078483177,0.121003693,0.129459528,0.05670507,0.162753455,0.109426937,0.085427114,0.717300895,0.388227644,0.482402457,1,0.427758135,0.670532182,0.635006446,0.663047318,0.646617774,0.252737202,0.19455717,0.132497066,0.171354006,0.228600925,0.039922739,0.026211899,0.149537215,0.161624959,0.083890334,0.093108637
group4128,0.332276379,0.215865848,0.334695085,0.139535167,0.207690023,0.132408092,0.263652569,0.314847039,0.134167813,0.296975799,0.299252253,0.255137748,0.243926456,0.003288802,0.182253523,0.120365757,0.067316435,0.317475487,0.417578519,0.107882869,0.145166769,0.299219856,0.312056316,0.249736197,0.18271299,0.158551331,0.341060923,0.280730043,0.367059811,0.427758135,1,0.826944212,0.851843143,0.519783042,0.83038943,0.41671245,0.412883548,0.24066854,0.361447857,0.387275233,0.409754559,0.082607343,0.10987122,0.088653887,0.155782126,0.232375383
group4127,0.090422597,0.113227967,0.11481059,0.098542983,0.092592724,0.049889535,0.041606114,0.09753737,0.045147848,0.103953032,0.078771867,0.064156669,0.090001898,0.002223304,0.072783628,0.038879621,0.045000363,0.275055828,0.304109995,0.087984563,0.137931283,0.217911537,0.141057557,0.14145892,0.12302808,0.118155322,0.527267546,0.222937248,0.38679191,0.670532182,0.826944212,1,0.91113779,0.701866178,0.929193352,0.433372228,0.329735399,0.181755772,0.265464852,0.302702546,0.3719881,0.023623746,0.139089553,0.140407107,0.079616822,0.132563043
group4126,0.114540552,0.120183345,0.154357461,0.107183077,0.104618461,0.056432232,0.057513219,0.119983548,0.049482286,0.127985157,0.102487193,0.096277322,0.148148605,0.002324623,0.074343018,0.042568329,0.089208809,0.257061812,0.372590746,0.123867262,0.151384919,0.234217735,0.141938999,0.142843474,0.126086674,0.114077395,0.499484155,0.257618966,0.395595124,0.635006446,0.851843143,0.91113779,1,0.747787543,0.954711036,0.483470146,0.366135204,0.202916235,0.322609553,0.382919469,0.356442701,0.035607423,0.19317969,0.185336269,0.098925291,0.231925653
group4125,0.060883927,0.077909571,0.087053497,0.087462904,0.092150707,0.046913404,0.030602643,0.072948949,0.037849531,0.067355401,0.067523496,0.045491381,0.070143503,0.002469312,0.030765265,0.01941903,0.038499126,0.187552975,0.1586472,0.069989554,0.098376948,0.09123145,0.053804251,0.131644454,0.079398736,0.069047362,0.513110609,0.150036046,0.313850487,0.663047318,0.519783042,0.701866178,0.747787543,1,0.794539297,0.516033387,0.424467444,0.166452723,0.226598375,0.281674426,0.420041289,0.02612115,0.146883018,0.1604397,0.080064318,0.191383584
group4124,0.085624121,0.108409573,0.12188117,0.095428649,0.09728241,0.055265996,0.052558547,0.120445534,0.049397847,0.118323861,0.094671034,0.058784624,0.091004828,0.00224982,0.084419247,0.044211894,0.059118097,0.286922196,0.344859762,0.089585839,0.128943264,0.214411859,0.148792615,0.131380263,0.128916095,0.119276586,0.489882115,0.273672275,0.391575927,0.646617774,0.83038943,0.929193352,0.954711036,0.794539297,1,0.487379006,0.368774689,0.156907873,0.260225397,0.301853657,0.354192925,0.021055515,0.135164809,0.14434762,0.083624684,0.188433345
group4123,0.103086002,0.107641478,0.129219179,0.310577725,0.187202509,0.06701075,0.078868766,0.094186491,0.078702536,0.096826045,0.163708557,0.186539057,0.260863297,0.002631096,0.05146274,0.039490872,0.026761205,0.235600556,0.31816253,0.11826069,0.07298661,0.129868674,0.085660854,0.230604804,0.157105453,0.127437444,0.277634727,0.112962502,0.183139383,0.252737202,0.41671245,0.433372228,0.483470146,0.516033387,0.487379006,1,0.804269584,0.574770975,0.663608644,0.571392029,0.315478996,0.124775576,0.055760151,0.058962686,0.064625401,0.142543775
group4122,0.302996724,0.219979376,0.268342245,0.302090411,0.258714699,0.099238055,0.140020919,0.191267525,0.09338277,0.152132701,0.274610353,0.249803964,0.304578338,0.003300018,0.095718421,0.052091014,0.05777359,0.400917831,0.385422239,0.14610171,0.092756893,0.151159449,0.129806788,0.237524254,0.161926718,0.151011607,0.233976571,0.12839156,0.186719081,0.19455717,0.412883548,0.329735399,0.366135204,0.424467444,0.368774689,0.804269584,1,0.737046631,0.767076032,0.709382785,0.453609431,0.123315897,0.041349313,0.039824981,0.059022032,0.162352079
group4121,0.050045807,0.099967219,0.073429863,0.398305968,0.226755582,0.088466127,0.114122268,0.133933884,0.079412649,0.144292601,0.236495079,0.266345136,0.346381999,0.001853251,0.104380692,0.063400225,0.022355679,0.415011496,0.498871802,0.153997587,0.085021282,0.221463783,0.124638735,0.270270841,0.190836239,0.175565461,0.187902327,0.187067606,0.169488356,0.132497066,0.24066854,0.181755772,0.202916235,0.166452723,0.156907873,0.574770975,0.737046631,1,0.896697422,0.829934517,0.186382771,0.108416629,0.03755517,0.025847127,0.048018942,0.131624064
group4120,0.174789474,0.116035846,0.180401493,0.355489172,0.18990546,0.071569438,0.114745342,0.15942968,0.077278355,0.139050613,0.193234176,0.238325338,0.322010244,0.0021284,0.113631905,0.064398244,0.044464631,0.431238679,0.526868756,0.166461216,0.095908201,0.227620639,0.123815142,0.232313434,0.159546058,0.160373693,0.210380838,0.164774721,0.166090505,0.171354006,0.361447857,0.265464852,0.322609553,0.226598375,0.260225397,0.663608644,0.767076032,0.896697422,1,0.958440446,0.252299197,0.135162766,0.078758347,0.055372712,0.052832806,0.187383301
group4119,0.157903229,0.102280557,0.179468906,0.306820916,0.173611902,0.063782255,0.118039878,0.196033255,0.07238671,0.168576037,0.184710331,0.236386584,0.330108383,0.00235592,0.132340528,0.068712656,0.095640215,0.497749953,0.523698519,0.146968857,0.094243467,0.253533152,0.147165675,0.214684954,0.146201861,0.163047254,0.265657427,0.14031421,0.169969308,0.228600925,0.387275233,0.302702546,0.382919469,0.281674426,0.301853657,0.571392029,0.709382785,0.829934517,0.958440446,1,0.314850751,0.133261633,0.105902136,0.073006237,0.056644791,0.290692285
group5530,0.454756481,0.243417211,0.211788118,0.057623815,0.048820526,0.014924576,0.033772733,0.106376901,0.022185261,0.091403758,0.056510824,0.065151772,0.101246551,0.006013482,0.066315694,0.025401727,0.0358228,0.470560475,0.154887103,0.071896281,0.109762831,0.10099965,0.080974577,0.060468886,0.039332392,0.059135879,0.052934381,0.002311219,0.035914444,0.039922739,0.409754559,0.3719881,0.356442701,0.420041289,0.354192925,0.315478996,0.453609431,0.186382771,0.252299197,0.314850751,1,0.024550099,0.1102511,0.045629608,0.02179203,0.277355742
group5368,0.422474519,0.424006926,0.505916591,0.10091408,0.61954597,0.734051788,0.666902537,0.652482113,0.741170256,0.694364192,0.575920471,0.57662091,0.549500957,0.006772765,0.748807911,0.748603149,0.03435374,0.085938959,0.088492613,0.073956829,0.057848918,0.035798398,0.012373024,0.0858332,0.050640673,0.039462809,0.047610966,0.01371024,0.029475325,0.026211899,0.082607343,0.023623746,0.035607423,0.02612115,0.021055515,0.124775576,0.123315897,0.108416629,0.135162766,0.133261633,0.024550099,1,0.093570656,0.087548392,0.707964125,0.463344488
group5369,0.423074616,0.843389275,0.658692993,0.095570087,0.10989878,0.038289455,0.022588124,0.145810023,0.050774645,0.10634074,0.079434041,0.056027452,0.084874961,0.004028344,0.03534124,0.025201108,0.392106839,0.070606659,0.45423827,0.764933779,0.668102029,0.193569693,0.056420748,0.060148936,0.025231846,0.0630235,0.180397529,0.006263515,0.125863023,0.149537215,0.10987122,0.139089553,0.19317969,0.146883018,0.135164809,0.055760151,0.041349313,0.03755517,0.078758347,0.105902136,0.1102511,0.093570656,1,0.955802638,0.229758661,0.389341937
group5370,0.259996378,0.809705923,0.524223171,0.091957135,0.10678201,0.037143084,0.017472592,0.126358095,0.046717953,0.086005205,0.065702765,0.039429036,0.057222259,0.003405465,0.032289317,0.023184152,0.325089504,0.047676278,0.418455974,0.70850209,0.597150278,0.149540854,0.033911553,0.053714028,0.017705438,0.039932098,0.186107281,0.006844307,0.116766361,0.161624959,0.088653887,0.140407107,0.185336269,0.1604397,0.14434762,0.058962686,0.039824981,0.025847127,0.055372712,0.073006237,0.045629608,0.087548392,0.955802638,1,0.226190912,0.276588516
group5371,0.375644706,0.687225575,0.572582306,0.113391629,0.630985151,0.529451676,0.66485932,0.676421173,0.55942442,0.558208374,0.579690104,0.568158466,0.50472883,0.005507084,0.515183484,0.55430205,0.092485446,0.075070616,0.169086747,0.199618337,0.167341942,0.076320998,0.02594438,0.115636178,0.071635032,0.036949691,0.101122097,0.044860927,0.078160155,0.083890334,0.155782126,0.079616822,0.098925291,0.080064318,0.083624684,0.064625401,0.059022032,0.048018942,0.052832806,0.056644791,0.02179203,0.707964125,0.229758661,0.226190912,1,0.3410993
group4890,0.574911087,0.297560655,0.636285103,0.099471376,0.311411244,0.334014835,0.316882265,0.395949003,0.343748777,0.385788461,0.2974763,0.311052636,0.357881583,0.00567669,0.302589448,0.289833074,0.211843364,0.210710753,0.186951341,0.197560314,0.231568585,0.127486867,0.163538005,0.116733314,0.098397845,0.148941861,0.141546842,0.011220261,0.096738583,0.093108637,0.232375383,0.132563043,0.231925653,0.191383584,0.188433345,0.142543775,0.162352079,0.131624064,0.187383301,0.290692285,0.277355742,0.463344488,0.389341937,0.276588516,0.3410993,1
